lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
line,line|lines,NOUN|PROPN,11,6,6,6|8|10|12|15|20,,8,target_extra
list,list,NOUN,8,5,4,4|5|6|10|16,,6,target_extra
listen,listen|listening|listens,VERB,7,6,6,6|9|11|14|15,15,15,core
little,little,ADJ,7,6,1,1|4|7|11|19,,,unclassified
live,live|lives,VERB,5,4,1,1|3|19,1,,core
living,living,NOUN,6,5,3,3|17,3,3,core
loaf,loaf,NOUN,1,1,5,5,,,unclassified
local,local,ADJ,5,5,15,15|17|18|19|20,,,unclassified
lonely,lonely,ADJ,3,3,15,15|16,15,,core
long,long|longer,ADJ|ADV,19,19,1,1|3|6|7|9|12|13|16|17|18|19|20,,,unclassified
look,look|looked|looking|looks,VERB,52,39,1,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|18|19|20,,,unclassified
loose,loose,ADJ,3,3,7,7|16,7,7,core
lose,lose|loses|lost,VERB,6,6,8,8|10|13|18,13|18,8|10|13|18,core
lot,lot,NOUN,2,2,5,5|10,,,unclassified
loud,loud|louder,ADJ,3,3,9,9|13,,13,target_extra
love,loves,VERB,2,2,13,13|15,,,unclassified
low,low|lowest,ADJ,2,2,3,3|10,,,unclassified
lucky,lucky,ADJ,2,2,18,18,18,18,core
lucy,lucy,PROPN,2,1,5,5,,,unclassified
luggage,luggage,NOUN,4,3,12,12|19,12,12,core
luis,luis,PROPN,1,1,14,14,,,unclassified
lunch,lunch,NOUN,9,7,1,1|4|7|9|12|15,4,,core
m,m,NOUN,1,1,16,16,,,unclassified
main,main,ADJ,3,3,11,11|14|18,,,unclassified
make,made|make|makes|making,VERB,46,33,2,2|3|4|5|6|7|9|10|11|13|14|15|16|17|18|19,,5,target_extra
man,man|men,NOUN,18,8,1,1|2|4|12|13|18,,,unclassified
manager,manager,NOUN|PROPN,10,4,11,11|14|19|20,,,unclassified
many,many,ADJ,10,10,2,2|5|7|12|15|18|19|20,,,unclassified
map,map|maps,NOUN,17,12,1,1|2|8|9|12|14|18|19|20,8,8,core
maple,maple,PROPN,3,2,1,1|16,,,unclassified
march,march,PROPN,1,1,9,9,,,unclassified
maria,maria,PROPN,4,1,6,6,,,unclassified
mark,mark|marked,PROPN|VERB,5,2,13,13|20,,,unclassified
market,market,NOUN|PROPN,10,7,4,4|8|10|12|14|20,,,unclassified
martha,martha,PROPN,4,1,14,14,,,unclassified
martin,martin,PROPN,6,2,12,12|14,,,unclassified
math,maths,NOUN,1,1,1,1,,,unclassified
max,max,PROPN,12,2,2,2|15,,,unclassified
may,may,AUX|PROPN,10,8,2,2|16|17|19|20,,,unclassified
maya,maya,PROPN,47,14,3,3|4|7|9|10|12|13|14|15|17|18|19|20,,,unclassified
maybe,maybe,ADV,5,5,15,15|16|19,,19,target_extra
meal,meal|meals,NOUN,3,3,4,4|11,,,unclassified
mean,mean|means,VERB,5,5,2,2|5|15|17,,,unclassified
meat,meat,NOUN,2,2,4,4,4,,core
mechanic,mechanic,NOUN,2,2,5,5,5,5,core
medicine,medicine,NOUN,6,3,11,11|17,11,11,core
medium,medium,ADJ|NOUN,6,3,7,7,,,unclassified
meet,meet|meets,VERB,13,13,1,1|4|5|8|9|12|13|14|17|19,,,unclassified
meeting,meeting,NOUN,8,5,5,5|6|8|13|20,,6,target_extra
melt,melt,VERB,2,2,9,9|20,,9,target_extra
member,member,NOUN,1,1,13,13,,,unclassified
menu,menu,NOUN,5,3,4,4|19,4,4|19,core
menus,menus,NOUN,1,1,19,19,,,unclassified
