lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
quiet,quiet,ADJ,17,14,2,2|6|9|13|15|17|19|20,2,9|13|17,core
quietly,quietly,ADV,1,1,3,3,,,unclassified
r,r,NOUN,1,1,1,1,,,unclassified
rabbit,rabbit|rabbits,NOUN,7,3,17,17|20,17,17,core
race,race,NOUN|VERB,5,1,11,11,,,unclassified
rain,rain,NOUN,13,9,9,9|12|16|17|18|20,9,9,core
rainy,rainy,ADJ,1,1,9,9,,,unclassified
rarely,rarely,ADV,3,3,6,6|13,6,6,core
reach,reach|reached|reaches,VERB,5,5,4,4|10|18|19,,19,target_extra
read,read|reads,VERB,13,11,1,1|4|5|6|8|11|15|16|19|20,,,unclassified
reading,reading,NOUN,1,1,10,10,,,unclassified
ready,ready,ADJ,10,10,2,2|4|6|8|11|12|14|17|20,,6|12,target_extra
real,real,ADJ,1,1,1,1,,,unclassified
really,really,ADV,4,4,1,1|4|10|12,,,unclassified
reason,reason|reasons,NOUN,2,2,15,15|16,,15,target_extra
receipt,receipt,NOUN,10,6,7,7|10|18|20,10,7|10|18,core
receive,receives,VERB,3,3,14,14|15,14,14,core
reception,reception,NOUN,3,3,12,12|19,12,12,core
receptionist,receptionist,NOUN,4,3,12,12|18,,,unclassified
record,record,VERB,1,1,11,11,,,unclassified
red,red,ADJ,17,12,2,2|5|7|8|9|11|12|13|14|18,,,unclassified
reed,reed,PROPN,1,1,12,12,,,unclassified
refuse,refuse,VERB,2,2,16,16,16,,core
remember,remember|remembered|remembers,VERB,11,8,2,2|3|12|15|16|18|20,,2|12|18,target_extra
remove,remove|removes,VERB,3,3,2,2|10|12,,,unclassified
repaired,repaired,ADJ,1,1,15,15,,,unclassified
repeat,repeat|repeats,VERB,3,3,1,1|8|18,,1,target_extra
replace,replace|replaced,VERB,2,1,18,18,,18,target_extra
reply,replies|reply,NOUN|VERB,7,6,4,4|14|15|16|20,,14,target_extra
report,report,NOUN,1,1,7,7,,,unclassified
rescue,rescue,NOUN,3,3,18,18|20,18,18,core
rest,rest|resting|rests,NOUN|VERB,12,11,1,1|4|6|7|9|11|17|19|20,,6|9|11,target_extra
restart,restart,VERB,1,1,14,14,,,unclassified
restaurant,restaurant|restaurants,NOUN,6,3,5,5|8|12,,,unclassified
