lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
soft,soft,ADJ,6,5,3,3|9|17|20,,9,target_extra
solve,solve,VERB,1,1,14,14,,14,target_extra
some,some,DET,13,12,3,3|4|7|9|19|20,,,unclassified
somebody,somebody,PRON,1,1,16,16,,,unclassified
someday,someday,ADV,3,3,19,19|20,19,19,core
someone,someone,PRON,3,3,2,2|7|17,,,unclassified
something,something,PRON,8,8,2,2|4|12|13|14|16|18,,,unclassified
sometimes,sometimes,ADV,9,7,5,5|6|10|11|13|17,6,6,core
son,son,NOUN,3,3,2,2|20,2,2,core
song,song,NOUN,6,3,13,13|20,13,13,core
soon,soon|sooner,ADV,3,3,8,8|15|20,,,unclassified
sophie,sophie,PROPN,4,1,4,4,,,unclassified
sore,sore,ADJ,1,1,11,11,,,unclassified
sorry,sorry,ADJ|INTJ,8,8,1,1|3|13|15|16|18,15,15,core
sound,sound|sounds,NOUN|VERB,10,9,2,2|3|9|13|17|18,,,unclassified
soup,soup,NOUN|PROPN,7,4,4,4|11|16|19,,4,target_extra
south,south,ADJ|ADV|PROPN,3,3,8,8|12,8,8,core
space,space,NOUN,3,3,3,3|17|19,,17,target_extra
spain,spain,PROPN,1,1,1,1,,,unclassified
spanish,spanish,PROPN,2,1,1,1,,,unclassified
speak,speak|speaking|speaks|spoke,VERB,9,7,1,1|5|11|15|18,,1,target_extra
speaker,speaker|speakers,NOUN,2,2,18,18|20,,,unclassified
speaking,speaking,NOUN,1,1,20,20,,,unclassified
special,special,ADJ|NOUN,3,3,16,16,,16,target_extra
spell,spell,VERB,1,1,1,1,,1,target_extra
spend,spend|spent,VERB,7,6,9,9|10|12|18,10,10,core
spoon,spoon|spoons,NOUN,3,3,3,3|4,3,3,core
spoonful,spoonful,ADJ,1,1,4,4,,,unclassified
sport,sport|sports,NOUN,7,5,8,8|11|13|20,13,,core
spring,spring,NOUN,5,4,9,9|19|20,9,9,core
square,square,PROPN,1,1,8,8,,,unclassified
stair,stairs,NOUN,3,3,1,1|3|18,,3,target_extra
stand,stand|standing|stands,VERB,11,11,1,1|3|6|7|11|17|18|19|20,,,unclassified
star,stars,NOUN,1,1,16,16,,,unclassified
start,start|started|starting|starts,NOUN|VERB,17,16,5,5|6|10|11|12|14|15|18|19|20,6,6,core
station,station|stations,NOUN|PROPN,21,9,2,2|8|12|14|18|19,8,8,core
stay,stay|stayed|stays,VERB,11,11,6,6|9|11|12|15|17|18|20,12,,core
step,step|steps,NOUN,5,4,10,10|13|14|19,,,unclassified
still,still,ADV,28,25,3,3|4|6|7|8|9|10|11|13|15|16|17|18|19|20,,19,target_extra
stomach,stomach,NOUN,3,2,11,11,11,11,core
stone,stone,NOUN,1,1,11,11,,,unclassified
stop,stop|stopped|stops,NOUN|PROPN|VERB,31,17,1,1|2|6|8|9|11|12|14|15|17|18|20,8,8|18,core
storm,storm,NOUN,4,3,9,9|20,9,9,core
story,stories|story,NOUN,5,4,2,2|18|19,,,unclassified
straight,straight,ADV,4,3,8,8|12,8,8,core
strange,strange,ADJ,4,4,16,16|18|20,18,,core
stranger,stranger|strangers,NOUN,3,3,1,1|2|14,,,unclassified
strap,strap,NOUN,1,1,18,18,,,unclassified
strawberry,strawberries,NOUN,1,1,10,10,,,unclassified
street,street|streets,NOUN|PROPN,21,13,1,1|6|8|9|12|16|19,8,1,core
stretch,stretch,VERB,1,1,11,11,,,unclassified
strong,strong,ADJ,2,2,7,7|17,,,unclassified
student,student|students,NOUN,23,13,1,1|5|6|11|17|18|19|20,1|5,1,core
study,studies|study,NOUN|VERB,10,4,1,1|5|18,5,,core
style,style,NOUN,3,3,7,7|16,,7,target_extra
subject,subject,NOUN,1,1,14,14,,14,target_extra
suddenly,suddenly,ADV,4,4,16,16|18|20,18,,core
sugar,sugar,NOUN,1,1,18,18,,,unclassified
suggest,suggests,VERB,3,3,13,13|19,,,unclassified
suitcase,suitcase|suitcases,NOUN,7,3,12,12|19,12,12,core
summer,summer,NOUN,4,3,9,9|16,9,9,core
sun,sun,NOUN,3,3,9,9|11,9,,core
sunday,sunday,PROPN,8,5,2,2|6|14|17|19,,,unclassified
sure,sure,ADJ,2,2,12,12|19,,,unclassified
