lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
free,free,ADJ,6,6,6,6|13|15|17|20,13,6,core
freeze,freeze,VERB,1,1,9,9,,9,target_extra
fresh,fresh,ADJ,3,3,9,9|17|20,,9,target_extra
friday,friday,PROPN,11,8,6,6|7|13|14|18|19|20,,,unclassified
fridge,fridge,NOUN,4,4,3,3|4|6,3,3,core
friend,friend|friends,NOUN,57,35,1,1|2|3|4|5|6|7|9|10|11|12|13|14|15|16|17|18|19|20,1,1,core
friendly,friendly,ADJ,7,6,1,1|5|17|20,17,17,core
friendship,friendship,NOUN,1,1,15,15,,,unclassified
from,from,ADP,32,24,1,1|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20,1,1,core
front,front,NOUN,1,1,3,3,,,unclassified
fruit,fruit,NOUN,13,12,4,4|6|10|11|12|16|18|20,4,,core
full,full,ADJ,10,10,2,2|4|8|9|11|14|16,,14,target_extra
fun,fun,NOUN,1,1,13,13,,,unclassified
fund,fund,NOUN,1,1,10,10,,,unclassified
funny,funny,ADJ,4,4,2,2|14,2,2,core
fur,fur,NOUN,3,3,17,17|20,17,17,core
future,future,ADJ|NOUN,4,4,19,19,19,19,core
game,game|games,NOUN,9,6,13,13|14|17|20,13,,core
garden,garden|gardens,NOUN,4,4,9,9|19,,,unclassified
gate,gate,NOUN,1,1,19,19,,,unclassified
get,get|gets|getting|got,VERB,23,14,4,4|6|8|11|12|18|19|20,6|8,6|8,core
gift,gift|gifts,NOUN,10,5,7,7|15|16|20,16,7,core
girl,girl,NOUN,3,2,1,1|2,,,unclassified
give,gave|give|gives,VERB,36,32,1,1|2|3|4|5|6|8|9|10|11|12|13|15|16|17|19|20,,,unclassified
glass,glass|glasses,NOUN,10,7,2,2|3|4|11,2|3,2|3,core
glove,gloves,NOUN,5,4,7,7|9|17,7,7,core
go,go|goes|going|gone|went,VERB,34,25,3,3|6|8|9|10|11|12|14|15|16|17|18|19|20,,,unclassified
goal,goal,NOUN,6,5,10,10|19|20,10|19,10|19,core
good,best|good,ADJ,15,14,1,1|3|4|5|6|7|10|11|13|18|19,,,unclassified
granddaughter,granddaughter,NOUN,3,1,14,14,,,unclassified
grandfather,grandfather,NOUN|PROPN,4,3,2,2|16,2,2,core
grandma,grandma,PROPN,7,5,2,2|6|16,,,unclassified
grandmother,grandmother,NOUN|PROPN,5,3,2,2|16,2,2,core
grandpa,grandpa,PROPN,7,2,2,2|14,,,unclassified
grandparent,grandparents,NOUN,2,2,2,2,,,unclassified
grass,grass,NOUN,1,1,9,9,,,unclassified
greece,greece,PROPN,1,1,20,20,,,unclassified
green,green,ADJ|PROPN,23,15,1,1|2|3|7|8|9|14|16|17|18,,,unclassified
grey,grey,ADJ|NOUN,7,6,2,2|12|16|17|20,,,unclassified
ground,ground,NOUN,3,2,18,18|20,,,unclassified
group,group,NOUN,5,5,2,2|10|12|14|20,,14,target_extra
grow,grow|growing,VERB,3,2,9,9,,9,target_extra
guard,guard,NOUN,4,3,5,5|20,5,5,core
guess,guess,NOUN|VERB,2,1,16,16,,16,target_extra
guest,guest|guests,NOUN,14,7,3,3|12|16|18|19,12|16,12|16,core
guitar,guitar,NOUN,9,4,13,13|16|20,13,13,core
hair,hair,NOUN,3,3,2,2,2,2,core
half,half,DET|NOUN,6,5,4,4|7|10|15,10,10,core
hall,hall,NOUN|PROPN,13,9,1,1|2|3|8|13|16|20,,,unclassified
hand,hand|hands,NOUN,9,7,2,2|3|11|12|15|20,11,,core
handle,handle,NOUN,1,1,12,12,,,unclassified
hang,hang|hangs,NOUN|VERB,2,2,7,7|20,,,unclassified
happen,happen|happened,VERB,5,5,16,16|18|20,18,,core
happy,happy,ADJ,6,6,2,2|13|15|16|20,15,,core
hat,hat,NOUN,8,5,2,2|7|9,7,7,core
have,had|has|have|having,AUX|VERB,145,69,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
hay,hay,NOUN|PROPN,4,3,17,17|20,17,17,core
he,he|him,PRON,245,68,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
head,head|heads,NOUN,5,5,11,11|14|15|17,11,,core
headache,headache,NOUN,3,3,11,11|20,11,11,core
headphone,headphones,NOUN,5,4,13,13|14|20,14,,core
health,health,PROPN,1,1,11,11,,,unclassified
hear,hear|hears,VERB,8,6,3,3|8|13|14|15|17,,,unclassified
heavy,heavy,ADJ,4,4,6,6|9|12|20,,,unclassified
hello,hello,INTJ,5,5,1,1|3|14|20,,,unclassified
help,help|helped|helping|helps,NOUN|VERB,30,27,3,3|4|5|7|8|9|10|11|12|13|14|15|16|17|18|19|20,15,19,core
her,her|hers,NOUN|PRON,128,53,1,1|2|3|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,2,target_extra
here,here,ADV,3,3,5,5|16,,,unclassified
hers,hers,PRON,2,2,12,12|18,,,unclassified
herself,herself,PRON,1,1,10,10,,,unclassified
hi,hi,INTJ,1,1,1,1,,,unclassified
hide,hide|hides,VERB,4,4,2,2|9|15|17,,9|17,target_extra
hill,hill|hills,NOUN|PROPN,8,5,1,1|9|12|19,9,9,core
his,his,PRON,148,54,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,2,target_extra
hit,hit|hits,VERB,2,2,9,9|18,,,unclassified
hobby,hobbies|hobby,ADJ|NOUN,7,3,13,13|20,13,13,core
hold,held|holding|holds,VERB,4,4,10,10|11|12|18,,,unclassified
holder,holder,NOUN,1,1,8,8,,,unclassified
hole,holes,NOUN,1,1,17,17,,,unclassified
holiday,holiday,NOUN,8,6,12,12|16|20,12|16,12,core
home,home|homes,ADV|NOUN,41,35,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,3,,core
honest,honest,ADJ,2,2,10,10|15,15,15,core
hop,hopes,VERB,2,2,19,19,,,unclassified
hope,hope,NOUN|VERB,7,4,16,16|19|20,19,19,core
horse,horse,NOUN,3,3,17,17|20,17,17,core
hospital,hospital,NOUN,1,1,5,5,,,unclassified
hot,hot,ADJ,4,4,9,9|11|12,9,9,core
hotel,hotel,NOUN|PROPN,16,8,5,5|8|12|18|19|20,12,12,core
hour,hour|hours,NOUN,10,10,5,5|7|9|11|13|14|17|18,,,unclassified
house,house,NOUN,2,2,2,2|3,,,unclassified
how,how,SCONJ,10,10,4,4|5|7|11|13|18|19|20,,,unclassified
hungry,hungry,ADJ,2,2,4,4,,4,target_extra
hurry,hurry,VERB,1,1,6,6,,6,target_extra
hurrying,hurrying,NOUN,1,1,6,6,,,unclassified
hurt,hurt|hurts,NOUN|VERB,13,10,7,7|11|17|18|20,11,11|17,core
husband,husband,NOUN,4,4,2,2|5|6,2,2,core
