lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
bathroom,bathroom,NOUN,8,5,3,3|6|12|20,3,3,core
battery,battery,NOUN,8,4,8,8|14|20,14,8|14,core
bay,bay,PROPN,3,1,12,12,,,unclassified
be,am|are|be|being|is|was|were,AUX,566,99,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
beach,beach,NOUN,3,2,12,12|19,,12,target_extra
beard,beard,NOUN|PROPN,3,2,2,2|16,,2,target_extra
beautiful,beautiful,ADJ,2,2,3,3|13,,,unclassified
because,because,SCONJ,22,20,3,3|7|9|10|11|12|15|16|17|18|19|20,,,unclassified
become,became|become|becomes,VERB,13,12,4,4|6|9|10|16|17|18|19|20,19,19,core
bed,bed,NOUN,7,6,3,3|6|12|17,3,,core
bedroom,bedroom,NOUN,4,4,3,3|6,3,3,core
before,before,ADP,34,28,2,2|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20,,6|11,target_extra
begin,began|begin|begins,VERB,16,15,6,6|9|12|15|16|18|19|20,,,unclassified
behind,behind,ADP,6,5,1,1|2|3|9|17,,,unclassified
belong,belong|belongs,VERB,2,2,5,5|16,,5|16,target_extra
below,below,ADP|ADV,5,5,3,3|7|9,,3|7,target_extra
belt,belt,NOUN,1,1,12,12,,,unclassified
ben,ben,PROPN,74,18,1,1|2|4|5|7|9|11|13|14|15|16|17|18|19|20,,,unclassified
bench,bench,NOUN,2,2,10,10|11,,,unclassified
beside,beside,ADP,23,19,3,3|7|8|9|10|11|12|13|16|17|18|20,,8,target_extra
between,between,ADP,5,4,3,3|17|18|19,,3,target_extra
bicycle,bicycle|bicycles,NOUN,6,4,8,8|10|19,8,,core
big,big,ADJ,2,2,2,2|4,,,unclassified
bill,bill,NOUN,6,3,4,4|10,4,4|10,core
bin,bin,PROPN,1,1,4,4,,,unclassified
bird,bird|birds,NOUN,18,5,9,9|17|20,17,9|17,core
birthday,birthday,NOUN,13,7,2,2|5|7|16|18,16,2,core
biscuit,biscuits,NOUN,3,2,4,4|20,,,unclassified
black,black,ADJ,12,9,2,2|4|5|7|12|14|20,,,unclassified
blanket,blanket,NOUN,2,2,11,11|17,,,unclassified
block,blocked|blocks,NOUN|VERB,3,3,8,8|11,,8,target_extra
blow,blow|blows,VERB,3,2,16,16|18,,16,target_extra
blue,blue,ADJ|PROPN,31,17,2,2|3|5|7|8|10|12|13|14|15|16|18|20,,,unclassified
board,board,NOUN,3,3,1,1|5|14,,,unclassified
body,body,NOUN,1,1,11,11,,,unclassified
book,book|booking|books,NOUN|VERB,15,12,1,1|3|5|12|13|18|20,12,12,core
booking,booking,NOUN,4,2,12,12,,,unclassified
bookshop,bookshop,NOUN,2,1,8,8,,,unclassified
boot,boots,NOUN,6,4,7,7|9,7,7,core
borrow,borrows,VERB,1,1,5,5,,,unclassified
both,both,CCONJ|DET,16,14,1,1|2|4|6|7|13|15|17|18,,,unclassified
bottle,bottle,NOUN,4,4,4,4|9|11,4,4|9,core
bowl,bowl,NOUN,10,8,4,4|17|20,17,17,core
box,box|boxes,NOUN|PROPN,33,17,2,2|3|4|10|14|15|16|17|19|20,4,17,core
boy,boy,NOUN,1,1,2,2,,,unclassified
branch,branches,NOUN,1,1,9,9,,,unclassified
brave,brave,ADJ,1,1,15,15,,,unclassified
bread,bread,NOUN|PROPN,22,11,2,2|4|5|6|10|16|17|20,4,,core
break,break|breaks|broke|broken,NOUN|VERB,11,10,6,6|15|16|17|18|20,6|18,6,core
breakfast,breakfast|breakfasts,NOUN,19,12,3,3|4|5|6|11|12|19,4,4|6|12,core
breathe,breathe,NOUN,1,1,15,15,,15,target_extra
bridge,bridge|bridges,NOUN|PROPN,9,3,8,8|20,8,8,core
bright,bright|brighter,ADJ,6,6,7,7|9|10|11|12|18,,,unclassified
bring,bring|brings|brought,VERB,35,24,2,2|4|5|7|9|11|12|13|14|16|17|20,16,,core
brother,brother,NOUN,12,9,2,2|3|5|7|12|16,2,2,core
brown,brown,ADJ|PROPN,8,5,2,2|5|10|17|20,,,unclassified
bruno,bruno,PROPN,7,2,17,17,,,unclassified
brush,brush,NOUN,1,1,13,13,,13,target_extra
budget,budget,NOUN,3,3,10,10|12,10,,core
build,building,VERB,3,1,16,16,3,3,core
building,building|buildings,NOUN,12,11,1,1|3|5|12|13|16|18|19,,,unclassified
burn,burn|burned,VERB,3,2,4,4|18,,4,target_extra
bus,bus|buses,NOUN|PROPN,27,17,1,1|3|5|6|7|8|10|11|13|14|15|18|20,8,,core
business,business,NOUN,1,1,19,19,,,unclassified
busy,busy,ADJ,6,6,2,2|6|15|19,,15,target_extra
but,but,CCONJ,159,86,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
button,button|buttons,NOUN,7,3,14,14|18,14,18,core
buy,bought|buy|buying|buys,VERB,26,21,2,2|4|6|7|8|9|10|12|13|18|19|20,,,unclassified
by,by,ADP,17,16,3,3|4|5|6|7|8|9|10|11|12|13|16|17,,,unclassified
cable,cable,NOUN,3,1,17,17,,,unclassified
cafe,cafe,NOUN|PROPN,20,11,4,4|6|8|9|10|11|14|16|18|19,,,unclassified
cage,cage|cages,NOUN,4,3,17,17|20,17,17,core
cake,cake|cakes,NOUN,26,9,2,2|5|10|16|18|20,16,,core
calendar,calendar,NOUN,2,2,13,13|16,,16,target_extra
call,call|called|calls,NOUN|VERB,33,23,1,1|3|5|6|7|11|14|15|16|17|18|19|20,14,1|14,core
calm,calm,ADJ,5,5,15,15|17|20,15|17,15|17,core
camera,camera,NOUN,6,4,14,14|19,14,14,core
can,can,AUX,66,44,1,1|3|4|5|7|8|9|10|11|12|13|14|15|16|17|18|19,,,unclassified
canada,canada,PROPN,1,1,1,1,,,unclassified
cancel,cancelled,VERB,1,1,15,15,,,unclassified
candle,candle|candles,NOUN,18,4,2,2|16|18,16,2|16,core
car,car,NOUN,3,1,2,2,,,unclassified
card,card|cards,NOUN,19,12,1,1|7|10|12|13|14|16|19,10|12|16,10|12,core
care,care|cared,NOUN|VERB,6,5,17,17|20,17,17,core
careful,careful,ADJ,6,6,2,2|5|9|11|14|17,,2|9|11,target_extra
carefully,carefully,ADV,6,6,1,1|8|9|17|18,,,unclassified
caring,caring,ADJ,1,1,11,11,,,unclassified
carriage,carriage,NOUN|PROPN,4,3,12,12|19,12,12,core
carrot,carrot|carrots,NOUN,2,2,17,17|20,,,unclassified
carry,carried|carries|carry|carrying,VERB,14,13,2,2|3|5|9|12|13|16|18|20,,,unclassified
case,case,NOUN,1,1,11,11,,,unclassified
cash,cash,NOUN,4,4,7,7|10|12,10,7|10,core
cat,cat,NOUN,6,4,3,3|17|20,17,17,core
catch,catch,VERB,2,2,11,11|13,,,unclassified
ceiling,ceiling,NOUN,1,1,3,3,,,unclassified
celebrate,celebrate|celebrates,VERB,2,2,16,16,16,16,core
cent,cents,NOUN,1,1,4,4,,,unclassified
central,central,PROPN,1,1,8,8,,,unclassified
centre,centre,NOUN,9,6,2,2|8|17|18|20,,,unclassified
cereal,cereal,NOUN,2,2,4,4|6,,4,target_extra
chair,chair|chairs,NOUN,8,6,3,3|16|18,3,,core
change,change|changed|changes|changing,NOUN|VERB,25,19,4,4|7|8|9|10|12|14|16|17|18|19,10|19,4|7|8|9|19,core
charge,charges,VERB,1,1,14,14,,14,target_extra
charger,charger,NOUN,4,3,14,14|20,14,14,core
charging,charging,NOUN,1,1,14,14,,,unclassified
chart,chart,NOUN,6,4,5,5|10|19|20,,,unclassified
cheap,cheap|cheaper|cheapest,ADJ,6,5,4,4|7|10|12,10,4|10,core
check,check|checked|checks,NOUN|VERB,41,34,1,1|2|4|5|6|7|9|10|11|12|14|15|16|18|19|20,12,10|12|14,core
checking,checking,NOUN,1,1,14,14,,,unclassified
cheese,cheese,NOUN,7,4,4,4|16,4,,core
chen,chen,PROPN,2,1,9,9,,,unclassified
chess,chess,NOUN,4,2,13,13|16,,13,target_extra
chew,chew,VERB,3,2,17,17,,17,target_extra
chicken,chicken,NOUN|VERB,3,3,4,4|20,4,,core
child,child|children,NOUN,8,7,2,2|9|11|16|18,,,unclassified
choice,choice,NOUN,3,3,10,10|13|17,,10,target_extra
choose,choose|chooses,VERB,14,10,7,7|12|13|14|15|19|20,,7|12|13|15,target_extra
chris,chris,PROPN,5,1,10,10,,,unclassified
cinema,cinema,NOUN,4,3,13,13|20,13,13,core
city,cities|city,NOUN|PROPN,18,13,1,1|3|5|6|7|8|12|19,1,1,core
class,class,NOUN,14,8,1,1|5|15|16|17|20,,1,target_extra
classroom,classroom,NOUN,8,6,1,1|5|15|19|20,5,5,core
clean,clean|cleaned|cleaner|cleaning|cleans,ADJ|VERB,8,8,5,5|16|17|18|20,17,17,core
cleaner,cleaners,NOUN,1,1,6,6,5,5,core
clear,clear,ADJ,2,2,11,11|20,,,unclassified
click,click|clicks,NOUN|VERB,7,4,14,14|20,14,14,core
clinic,clinic,NOUN,4,2,11,11,,,unclassified
clock,clock|clocks,NOUN,9,4,6,6|8|11,,,unclassified
close,close|closes|closing,ADJ|ADV|VERB,6,6,5,5|7|8|14|16,,5,target_extra
clothe,clothes,NOUN,6,5,3,3|6|7|10|20,,,unclassified
clothing,clothing,NOUN,2,2,7,7|16,,,unclassified
cloud,clouds,NOUN,4,3,9,9|20,9,9,core
club,club,NOUN,4,2,13,13|20,,13,target_extra
coast,coast,NOUN,1,1,19,19,,,unclassified
coat,coat,NOUN,9,6,2,2|7|9|16,7,7,core
coffee,coffee|coffees,NOUN,8,6,4,4|6|10|15,4,,core
coin,coin|coins,NOUN,10,5,4,4|10|13|15,10,4,core
cold,cold,ADJ|NOUN,8,8,4,4|7|9|11|15|20,9|11,11,core
colder,colder,ADJ,1,1,7,7,,,unclassified
cole,cole,PROPN,1,1,12,12,,,unclassified
collar,collar,NOUN,3,2,2,2|20,,,unclassified
collect,collect,VERB,3,3,13,13|20,13,13,core
collection,collection,NOUN,1,1,13,13,,,unclassified
college,college,PROPN,1,1,1,1,,,unclassified
colour,colour|colours,NOUN|VERB,9,7,7,7|9|13|16|19,,13,target_extra
coloured,coloured,ADJ,1,1,19,19,,,unclassified
come,came|come|comes|coming,VERB,26,22,1,1|2|3|4|5|6|7|9|10|11|14|16|17|20,,17,target_extra
comedy,comedies|comedy,NOUN,7,3,13,13|20,13,13,core
comfortable,comfortable,ADJ,3,3,7,7,,7,target_extra
community,community,NOUN,2,2,16,16|20,,,unclassified
compare,compare|compares,VERB,3,3,10,10|12,10,10,core
competition,competition,NOUN,1,1,15,15,,,unclassified
complete,complete,ADJ|VERB,2,2,6,6|20,,,unclassified
complicated,complicated,ADJ,1,1,12,12,,,unclassified
computer,computer|computers,NOUN,15,13,5,5|6|10|12|13|14|17|19|20,5|14,,core
concert,concert,NOUN,3,1,15,15,,,unclassified
connect,connect|connected|connects,VERB,6,4,14,14|20,14,14,core
connection,connection,NOUN,4,2,14,14|20,,14,target_extra
contact,contact|contacts,NOUN,3,3,1,1|14,,14,target_extra
content,contents,NOUN,1,1,18,18,,,unclassified
continue,continues,VERB,2,2,15,15|17,,,unclassified
conversation,conversation,NOUN,1,1,20,20,,,unclassified
cook,cook|cooked|cooks,NOUN|VERB,10,8,1,1|4|5|6|18|20,4|5,4,core
cooker,cooker,NOUN,3,3,3,3|20,3,,core
cooking,cooking,NOUN,1,1,19,19,,,unclassified
cool,cool|cooler,ADJ,3,3,9,9|12,9,,core
corner,corner|corners,NOUN,5,4,3,3|8|12,8,3|8,core
correct,correct|corrects,ADJ|VERB,8,7,1,1|6|10|11|14|15,,6,target_extra
